"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 18 21:00:46 UTC 2026","Mon May 18 21:00:46 UTC 2026","335","","TC-007: Получение коллекции photos","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetCollectionsOfPhotosTest","getRequestCheckStatusCode","TC-007: Статус-код 200",""
"passed","Mon May 18 21:00:49 UTC 2026","Mon May 18 21:00:49 UTC 2026","78","","TC-012: Получение user по id","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetUserByIdTest","getRequestCheckThatObjectHasNestedFields","TC-012: Вложенные поля address и company присутствуют",""
"passed","Mon May 18 21:00:51 UTC 2026","Mon May 18 21:00:51 UTC 2026","108","","TC-068:(БАГ) Создание post с невалидным JSON Payload","","org.izuum.jsonPlaceholder.apiTests.createResources.CreatePostWithInvalidJsonPayloadTest","checkThatClientAndServerHandlesErrorCorrectly","TC-068:(БАГ) Клиент/сервер корректно обрабатывает ошибку [5] ""not a json at all""",""
"passed","Mon May 18 21:00:51 UTC 2026","Mon May 18 21:00:52 UTC 2026","183","","TC-064: Создание post только с обязательными полями","","org.izuum.jsonPlaceholder.apiTests.createResources.CreatePostWithRequiredFieldsTest","checkThatServiceReturnMock","TC-064: Сервис возвращает mock-object, отсутствует реальная персистентность",""
"passed","Mon May 18 21:00:34 UTC 2026","Mon May 18 21:00:34 UTC 2026","131","","TC-082: Обновить только поле body","","org.izuum.jsonPlaceholder.apiTests.partUpdateTests.UpdateBodyInPostTest","checkStatusCodeOfPatch","TC-082: Статус-код 200",""
"passed","Mon May 18 21:00:49 UTC 2026","Mon May 18 21:00:50 UTC 2026","100","","TC-095: Удаление todo","","org.izuum.jsonPlaceholder.apiTests.deleteDataTests.DeleteToDoTest","checkStatusCodeOfDeleteTodo","TC-095: Статус-код 200",""
"passed","Mon May 18 21:00:50 UTC 2026","Mon May 18 21:00:51 UTC 2026","114","","TC-071: Создание comments с полями postId, name, email, body","","org.izuum.jsonPlaceholder.apiTests.createResources.CreateCommentWithFieldsTest","checkThatSuccessMockCreate","TC-071: Успешное создание mock-create",""
"passed","Mon May 18 21:00:47 UTC 2026","Mon May 18 21:00:47 UTC 2026","99","","TC-005: Получение коллекции albums","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetCollectionOfAlbumsTest","getRequestCheckThatElementsHasFields","TC-005: Элементы содержат поля userId, id, title",""
"passed","Mon May 18 21:00:31 UTC 2026","Mon May 18 21:00:34 UTC 2026","3010","","TC-082: Обновить только поле body","","org.izuum.jsonPlaceholder.apiTests.partUpdateTests.UpdateBodyInPostTest","checkNewBodyInPost","TC-082: Проверка что body изменен, id и userId сохранены в ответе",""
"passed","Mon May 18 21:00:56 UTC 2026","Mon May 18 21:00:57 UTC 2026","178","","TC-055: Запрос Photo с несуществующим id","","org.izuum.jsonPlaceholder.apiTests.negativeReadTests.GetPhotosByNotExistsIdTest","checkExpectedNotServerError","TC-055: Статус-код не 5хх",""
"passed","Mon May 18 21:00:44 UTC 2026","Mon May 18 21:00:44 UTC 2026","136","","TC-049: Получение nested route для несуществующего post","","org.izuum.jsonPlaceholder.apiTests.nestedRoutesTests.GetNotExistsNestedRouteForPostTest","getRequestCheckStatusCode","TC-049: Статус-код 200",""
"passed","Mon May 18 21:00:41 UTC 2026","Mon May 18 21:00:41 UTC 2026","120","","Проверка типов полей на всех эндпоинтах","","org.izuum.jsonPlaceholder.apiTests.structureAndTypeTests.CheckTypeOfFieldsTest","checkTypeOfFieldsOfComment","TC-014: Проверка типов полей comment",""
"passed","Mon May 18 21:00:59 UTC 2026","Mon May 18 21:00:59 UTC 2026","73","","TC-027: Фильтрация albums по userId","","org.izuum.jsonPlaceholder.apiTests.filterQueryParamTests.FilteringAlbumsByUserIdTest","getRequestCheckStatusCode","TC-027: Статус-код 200",""
